date,next_open,next_close,diff,up_indicator
2015-12-29,432.09,427.32,-4.769999999999982,0
2015-12-30,427.32,430.08,2.759999999999991,1
2015-12-31,430.08,434.25,4.170000000000016,1
2016-01-01,434.25,433.48,-0.7699999999999818,0
2016-01-02,433.48,431.08,-2.400000000000034,0
2016-01-03,431.08,433.33,2.25,1
2016-01-04,433.33,431.36,-1.9699999999999704,0
2016-01-05,431.36,430.71,-0.6500000000000341,0
2016-01-06,430.71,457.62,26.910000000000025,1
2016-01-07,457.62,452.84,-4.78000000000003,0
2016-01-08,452.84,449.11,-3.7299999999999613,0
2016-01-09,449.11,446.52,-2.590000000000032,0
2016-01-10,446.52,447.74,1.2200000000000273,1
2016-01-11,447.74,445.18,-2.5600000000000023,0
2016-01-12,445.18,432.22,-12.95999999999998,0
2016-01-13,432.22,429.22,-3.0,0
2016-01-14,429.22,372.18,-57.04000000000002,0
2016-01-15,372.18,385.18,13.0,1
2016-01-16,385.18,382.34,-2.840000000000032,0
2016-01-17,382.34,384.28,1.9399999999999977,1
2016-01-18,384.28,378.84,-5.439999999999998,0
2016-01-19,378.84,414.0,35.160000000000025,1
2016-01-20,414.0,410.2,-3.8000000000000114,0
2016-01-21,410.2,382.14,-28.060000000000002,0
2016-01-22,382.14,388.55,6.410000000000025,1
2016-01-23,388.55,402.29,13.740000000000009,1
2016-01-24,402.29,392.75,-9.54000000000002,0
2016-01-25,392.75,389.67,-3.079999999999984,0
2016-01-26,389.67,395.08,5.409999999999968,1
2016-01-27,395.08,379.87,-15.20999999999998,0
2016-01-28,379.87,380.12,0.25,1
2016-01-29,380.12,377.85,-2.269999999999982,0
2016-01-30,377.85,369.67,-8.180000000000007,0
2016-01-31,369.67,371.71,2.0399999999999636,1
2016-02-01,371.71,373.58,1.8700000000000045,1
2016-02-02,373.58,367.98,-5.599999999999966,0
2016-02-03,367.98,390.59,22.609999999999957,1
2016-02-04,390.59,386.18,-4.409999999999968,0
2016-02-05,386.18,376.62,-9.560000000000002,0
2016-02-06,376.62,377.87,1.25,1
2016-02-07,377.87,372.24,-5.6299999999999955,0
2016-02-08,372.24,375.4,3.159999999999968,1
2016-02-09,375.4,381.02,5.6200000000000045,1
2016-02-10,381.02,379.23,-1.7899999999999636,0
2016-02-11,379.23,383.45,4.21999999999997,1
2016-02-12,383.45,390.02,6.569999999999993,1
2016-02-13,390.02,405.9,15.879999999999995,1
2016-02-14,405.9,400.46,-5.439999999999998,0
2016-02-15,400.46,406.19,5.730000000000018,1
2016-02-16,406.19,417.51,11.319999999999993,1
2016-02-17,417.51,420.99,3.480000000000018,1
2016-02-18,420.99,420.25,-0.7400000000000091,0
2016-02-19,420.25,439.52,19.269999999999982,1
2016-02-20,439.52,437.62,-1.8999999999999773,0
2016-02-21,437.62,437.56,-0.060000000000002274,0
2016-02-22,437.56,420.27,-17.29000000000002,0
2016-02-23,420.27,422.6,2.330000000000041,1
2016-02-24,422.6,423.42,0.8199999999999932,1
2016-02-25,423.42,427.25,3.829999999999984,1
2016-02-26,427.25,431.86,4.610000000000014,1
2016-02-27,431.86,432.55,0.6899999999999977,1
2016-02-28,432.55,436.14,3.589999999999975,1
2016-02-29,436.14,433.06,-3.079999999999984,0
2016-03-01,433.06,425.06,-8.0,0
2016-03-02,425.06,419.44,-5.6200000000000045,0
2016-03-03,419.44,409.24,-10.199999999999989,0
2016-03-04,409.24,399.33,-9.910000000000025,0
2016-03-05,399.33,405.92,6.590000000000032,1
2016-03-06,405.92,414.88,8.95999999999998,1
2016-03-07,414.88,411.98,-2.8999999999999773,0
2016-03-08,411.98,412.75,0.7699999999999818,1
2016-03-09,412.75,415.65,2.8999999999999773,1
2016-03-10,415.65,419.05,3.400000000000034,1
2016-03-11,419.05,410.31,-8.740000000000009,0
2016-03-12,410.31,412.43,2.1200000000000045,1
2016-03-13,412.43,414.17,1.740000000000009,1
2016-03-14,414.17,414.81,0.6399999999999864,1
2016-03-15,414.81,415.74,0.9300000000000068,1
2016-03-16,415.74,418.2,2.4599999999999795,1
2016-03-17,418.2,408.24,-9.95999999999998,0
2016-03-18,408.24,407.86,-0.37999999999999545,0
2016-03-19,407.86,411.68,3.819999999999993,1
2016-03-20,411.68,411.08,-0.6000000000000227,0
2016-03-21,411.08,415.99,4.910000000000025,1
2016-03-22,415.99,416.82,0.8299999999999841,1
2016-03-23,416.82,414.36,-2.4599999999999795,0
2016-03-24,414.36,415.53,1.169999999999959,1
2016-03-25,415.53,416.52,0.9900000000000091,1
2016-03-26,416.52,424.71,8.189999999999998,1
2016-03-27,424.71,422.14,-2.569999999999993,0
2016-03-28,422.14,414.99,-7.149999999999977,0
2016-03-29,414.99,412.06,-2.930000000000007,0
2016-03-30,412.06,415.51,3.4499999999999886,1
2016-03-31,415.51,416.24,0.7300000000000182,1
2016-04-01,416.24,419.56,3.319999999999993,1
2016-04-02,419.56,419.31,-0.25,0
2016-04-03,419.31,419.21,-0.10000000000002274,0
2016-04-04,419.21,422.21,3.0,1
2016-04-05,422.21,421.59,-0.6200000000000045,0
2016-04-06,421.59,420.09,-1.5,0
2016-04-07,420.09,417.43,-2.659999999999968,0
2016-04-08,417.43,418.26,0.8299999999999841,1
2016-04-09,418.26,420.87,2.6100000000000136,1
2016-04-10,420.87,422.0,1.1299999999999955,1
2016-04-11,422.0,423.22,1.2200000000000273,1
2016-04-12,423.22,423.84,0.6199999999999477,1
2016-04-13,423.84,424.93,1.0900000000000318,1
2016-04-14,424.93,429.23,4.300000000000011,1
2016-04-15,429.23,429.51,0.2799999999999727,1
2016-04-16,429.51,426.19,-3.319999999999993,0
2016-04-17,426.19,428.45,2.259999999999991,1
2016-04-18,428.45,435.12,6.670000000000016,1
2016-04-19,435.12,441.42,6.300000000000011,1
2016-04-20,441.42,450.82,9.399999999999977,1
2016-04-21,450.82,443.76,-7.060000000000002,0
2016-04-22,443.76,449.17,5.410000000000025,1
2016-04-23,449.17,453.1,3.930000000000007,1
2016-04-24,453.1,462.32,9.21999999999997,1
2016-04-25,462.32,466.57,4.25,1
2016-04-26,466.57,446.99,-19.579999999999984,0
2016-04-27,446.99,448.87,1.8799999999999955,1
2016-04-28,448.87,455.36,6.490000000000009,1
2016-04-29,455.36,448.23,-7.1299999999999955,0
2016-04-30,448.23,453.08,4.849999999999966,1
2016-05-01,453.08,444.45,-8.629999999999995,0
2016-05-02,444.45,449.88,5.430000000000007,1
2016-05-03,449.88,446.62,-3.259999999999991,0
2016-05-04,446.62,448.34,1.7199999999999704,1
2016-05-05,448.34,459.45,11.110000000000014,1
2016-05-06,459.45,459.16,-0.2899999999999636,0
2016-05-07,459.16,457.34,-1.82000000000005,0
2016-05-08,457.34,460.31,2.9700000000000273,1
2016-05-09,460.31,448.85,-11.45999999999998,0
2016-05-10,448.85,451.91,3.0600000000000023,1
2016-05-11,451.91,454.61,2.6999999999999886,1
2016-05-12,454.61,455.69,1.079999999999984,1
2016-05-13,455.69,456.75,1.0600000000000023,1
2016-05-14,456.75,458.97,2.2200000000000273,1
2016-05-15,458.97,455.37,-3.6000000000000227,0
2016-05-16,455.37,453.35,-2.019999999999982,0
2016-05-17,453.35,453.98,0.6299999999999955,1
2016-05-18,453.98,442.08,-11.900000000000034,0
2016-05-19,442.08,441.87,-0.20999999999997954,0
2016-05-20,441.87,443.95,2.079999999999984,1
2016-05-21,443.95,439.01,-4.939999999999998,0
2016-05-22,439.01,443.95,4.939999999999998,1
2016-05-23,443.95,445.92,1.9700000000000273,1
2016-05-24,445.92,450.2,4.279999999999973,1
