week_number,open_next,close_next,diff_next,indicator
398,23739.38,24152.57,413.1899999999987,1
399,24152.57,21354.29,-2798.279999999999,0
400,21354.29,19852.31,-1501.9799999999996,0
401,19852.31,19785.31,-67.0,0
402,19785.31,21824.06,2038.75,1
403,21824.06,18480.77,-3343.290000000001,0
404,18480.77,18706.95,226.1800000000003,1
405,18706.95,19195.84,488.8899999999994,1
406,19195.84,19393.49,197.65000000000146,1
407,19393.49,19241.92,-151.57000000000335,0
408,19241.92,19294.9,52.9800000000032,1
409,19294.9,20518.82,1223.9199999999983,1
410,20518.82,20862.24,343.4200000000019,1
411,20862.24,16613.9,-4248.34,0
412,16613.9,16064.8,-549.1000000000022,0
413,16064.8,16203.5,138.70000000000073,1
414,16203.5,17310.34,1106.8400000000001,1
415,17310.34,16940.4,-369.9399999999987,0
416,16940.4,16744.48,-195.9200000000019,0
417,16744.48,16850.51,106.02999999999884,1
418,16850.51,16633.14,-217.36999999999898,0
419,16633.14,17186.61,553.4700000000012,1
420,17186.61,21154.89,3968.279999999999,1
421,21154.89,22777.28,1622.3899999999994,1
422,22777.28,23695.46,918.1800000000003,1
423,23695.46,22792.67,-902.7900000000009,0
424,22792.67,21823.93,-968.739999999998,0
425,21823.93,24508.53,2684.5999999999985,1
426,24508.53,23410.77,-1097.7599999999984,0
427,23410.77,22408.75,-1002.0200000000004,0
428,22408.75,22468.15,59.400000000001455,1
429,22468.15,27714.8,5246.649999999998,1
430,27714.8,27813.16,98.36000000000058,1
431,27813.16,27791.37,-21.790000000000873,0
432,27791.37,28293.21,501.84000000000015,1
433,28293.21,29926.86,1633.6500000000015,1
434,29926.86,27550.13,-2376.7299999999996,0
435,27550.13,28603.49,1053.3600000000006,1
436,28603.49,28322.57,-280.9200000000019,0
437,28322.57,27486.68,-835.8899999999994,0
438,27486.68,26831.48,-655.2000000000007,0
439,26831.48,28012.92,1181.4399999999987,1
440,28012.92,26784.31,-1228.609999999997,0
441,26784.31,25853.23,-931.0800000000017,0
442,25853.23,26422.37,569.1399999999994,1
443,26422.37,30477.61,4055.2400000000016,1
444,30477.61,30651.95,174.34000000000015,1
445,30651.95,30092.96,-558.9900000000016,0
446,30092.96,30283.0,190.04000000000087,1
447,30283.0,29782.82,-500.1800000000003,0
448,29782.82,29410.09,-372.72999999999956,0
449,29410.09,29005.68,-404.40999999999985,0
450,29005.68,29384.58,378.90000000000146,1
451,29384.58,26031.8,-3352.7800000000025,0
452,26031.8,25935.83,-95.96999999999753,0
453,25935.83,25962.21,26.37999999999738,1
454,25962.21,25832.66,-129.54999999999927,0
455,25832.66,26635.47,802.8100000000013,1
456,26635.47,26142.18,-493.2900000000009,0
457,26142.18,28107.22,1965.0400000000009,1
458,28107.22,27915.4,-191.8199999999997,0
459,27915.4,27822.0,-93.40000000000146,0
460,27822.0,30687.11,2865.1100000000006,1
461,30687.11,34310.34,3623.229999999996,1
462,34310.34,34882.65,572.310000000005,1
463,34882.65,36985.34,2102.689999999995,1
464,36985.34,37205.69,220.35000000000582,1
465,37205.69,37286.22,80.52999999999884,1
466,37286.22,41379.97,4093.75,1
467,41379.97,42122.13,742.1599999999962,1
468,42122.13,41168.27,-953.8600000000006,0
469,41168.27,43254.24,2085.970000000001,1
470,43254.24,42399.94,-854.2999999999956,0
471,42399.94,43926.07,1526.1299999999974,1
472,43926.07,42638.32,-1287.75,0
473,42638.32,41175.5,-1462.8199999999997,0
474,41175.5,42150.55,975.0500000000029,1
475,42150.55,42777.6,627.0499999999956,1
476,42777.6,48162.33,5384.730000000003,1
477,48162.33,52391.44,4229.110000000001,1
478,52391.44,51526.12,-865.3199999999997,0
479,51526.12,63713.67,12187.549999999996,1
480,63713.67,69326.01,5612.3399999999965,1
481,69326.01,68462.52,-863.4899999999907,0
482,68462.52,67179.44,-1283.0800000000017,0
483,67179.44,69648.68,2469.2399999999907,1
484,69648.68,69808.27,159.59000000001106,1
485,69808.27,66545.57,-3262.699999999997,0
486,66545.57,66355.6,-189.97000000000116,0
487,66355.6,62195.88,-4159.720000000008,0
488,62195.88,64249.55,2053.6700000000055,1
489,64249.55,61492.42,-2757.1300000000047,0
490,61492.42,66420.07,4927.650000000009,1
491,66420.07,68375.98,1955.909999999989,1
492,68375.98,69004.2,628.2200000000012,1
493,69004.2,69418.63,414.43000000000757,1
494,69418.63,66095.65,-3322.9800000000105,0
495,66095.65,62360.36,-3735.2899999999936,0
496,62360.36,63347.09,986.7299999999959,1
497,63347.09,55648.48,-7698.609999999993,0
498,55648.48,62912.24,7263.759999999995,1
499,62912.24,67421.4,4509.159999999996,1
500,67421.4,69599.37,2177.970000000001,1
501,69599.37,51567.12,-18032.249999999993,0
502,51567.12,58415.41,6848.290000000001,1
503,58415.41,58585.8,170.38999999999942,1
504,58585.8,63744.17,5158.369999999995,1
505,63744.17,57693.38,-6050.790000000001,0
506,57693.38,54898.6,-2794.779999999999,0
507,54898.6,58708.17,3809.5699999999997,1
508,58708.17,63667.03,4958.860000000001,1
509,63667.03,64345.28,678.25,1
